  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    360.3146         24       0.6732347E-03       -41.23930           0.1165402E-01
    360.3146         25       0.6954306E-03       -41.65714           0.1162943E-01
    360.3146         26       0.7172462E-03       -41.18049           0.1165333E-01
    360.3146         27       0.7384538E-03       -40.11129           0.1171174E-01
    360.3146         28       0.7588904E-03       -38.62718           0.1179445E-01
    360.3146         29       0.7783675E-03       -36.65839           0.1190760E-01
    360.3146         30       0.7966242E-03       -34.10171           0.1205622E-01
    360.3146         31       0.8132975E-03       -30.68215           0.1226609E-01
    360.3146         32       0.8279286E-03       -26.35242           0.1254148E-01
    360.3146         33       0.8399094E-03       -20.90701           0.1291054E-01
    360.3146         34       0.8485630E-03       -14.48606           0.1337743E-01
    360.3146         35       0.8531786E-03       -7.347598           0.1393933E-01
    360.3146         36       0.8532082E-03       0.1199965           0.1428657E-01
    360.3146         37       0.8554151E-03        8.985526           0.1377589E-01
    360.3146         38       0.8603478E-03        20.15248           0.1315474E-01
    360.3146         39       0.8681832E-03        32.16213           0.1251538E-01
    360.3146         40       0.1349280E-02        0.000000           0.1000000E+31
    480.4194          1       0.1132089E-03       -69.07879           0.1098240E-01
    480.4194          2       0.2253495E-03       -69.44162           0.1096478E-01
    480.4194          3       0.3355905E-03       -69.22833           0.1097043E-01
    480.4194          4       0.4430608E-03       -68.61442           0.1097591E-01
    480.4194          5       0.5466622E-03       -67.17272           0.1101467E-01
    480.4194          6       0.6449408E-03       -64.02850           0.1116639E-01
    480.4194          7       0.7363439E-03       -59.61715           0.1138319E-01
    480.4194          8       0.8188233E-03       -53.59626           0.1168939E-01
    480.4194          9       0.8892993E-03       -45.05421           0.1217614E-01
    480.4194         10       0.9451292E-03       -34.66274           0.1284723E-01
    480.4194         11       0.1002498E-02       -36.26577           0.1270561E-01
    480.4194         12       0.1060814E-02       -37.37084           0.1261635E-01
    480.4194         13       0.1122866E-02       -40.45902           0.1242248E-01
    480.4194         14       0.1187889E-02       -43.08222           0.1226329E-01
    480.4194         15       0.1254440E-02       -44.71676           0.1216187E-01
    480.4194         16       0.1321099E-02       -45.23340           0.1213183E-01
    480.4194         17       0.1386822E-02       -44.98927           0.1213975E-01
    480.4194         18       0.1450361E-02       -43.67366           0.1221688E-01
    480.4194         19       0.1510019E-02       -40.95270           0.1238284E-01
    480.4194         20       0.1563262E-02       -36.18196           0.1268975E-01
    480.4194         21       0.1608264E-02       -30.08597           0.1310250E-01
    480.4194         22       0.1659938E-02       -35.48397           0.1273025E-01
    480.4194         23       0.1716063E-02       -39.35167           0.1247874E-01
    480.4194         24       0.1774019E-02       -41.23930           0.1235569E-01
    480.4194         25       0.1832020E-02       -41.65714           0.1232752E-01
    480.4194         26       0.1888999E-02       -41.18049           0.1235394E-01
    480.4194         27       0.1944299E-02       -40.11129           0.1241972E-01
    480.4194         28       0.1997459E-02       -38.62718           0.1251314E-01
    480.4194         29       0.2047951E-02       -36.65839           0.1264147E-01
    480.4194         30       0.2095075E-02       -34.10171           0.1281006E-01
