pp_0000               6.2500000000E+02      9.3750000000E+03      1             5.7540351E+00
pp_0001               1.6250000000E+03      9.3750000000E+03      1             4.7247838E+00
pp_0002               2.6250000000E+03      9.3750000000E+03      1             6.5371991E+00
pp_0003               3.6250000000E+03      9.3750000000E+03      1             6.7410053E+00
pp_0004               6.2500000000E+02      8.3750000000E+03      1             9.1355785E+00
pp_0005               1.6250000000E+03      8.3750000000E+03      1             1.5429585E+01
pp_0006               2.6250000000E+03      8.3750000000E+03      1             8.9446748E+00
pp_0007               3.6250000000E+03      8.3750000000E+03      1             5.7614092E+00
pp_0008               6.2500000000E+02      7.3750000000E+03      1             7.0239737E+00
pp_0009               2.6250000000E+03      7.3750000000E+03      1             8.4010662E+00
pp_0010               3.6250000000E+03      7.3750000000E+03      1             3.1393023E+00
pp_0011               6.2500000000E+02      6.3750000000E+03      1             5.8660891E+00
pp_0012               2.6250000000E+03      6.3750000000E+03      1             1.9626243E+00
pp_0013               3.6250000000E+03      6.3750000000E+03      1             2.0084802E+00
pp_0014               6.2500000000E+02      5.3750000000E+03      1             6.1975415E+00
pp_0015               2.6250000000E+03      5.3750000000E+03      1             2.0092332E+00
pp_0016               3.6250000000E+03      5.3750000000E+03      1             3.6509724E+00
pp_0017               6.2500000000E+02      4.3750000000E+03      1             8.8666109E+00
pp_0018               1.6250000000E+03      4.3750000000E+03      1             2.1249055E+01
pp_0019               2.6250000000E+03      4.3750000000E+03      1             2.6153089E+00
pp_0020               3.6250000000E+03      4.3750000000E+03      1             2.1939203E+00
pp_0021               6.2500000000E+02      3.3750000000E+03      1             1.2263339E+01
pp_0022               1.6250000000E+03      3.3750000000E+03      1             1.6705116E+01
pp_0023               2.6250000000E+03      3.3750000000E+03      1             2.6405378E+00
pp_0024               3.6250000000E+03      3.3750000000E+03      1             1.7427180E+00
pp_0025               6.2500000000E+02      2.3750000000E+03      1             5.9000851E+00
pp_0026               1.6250000000E+03      2.3750000000E+03      1             4.8207007E+00
pp_0027               2.6250000000E+03      2.3750000000E+03      1             3.5315236E+00
pp_0028               3.6250000000E+03      2.3750000000E+03      1             2.8417827E+00
pp_0029               1.6250000000E+03      1.3750000000E+03      1             6.0149647E+00
pp_0030               2.6250000000E+03      1.3750000000E+03      1             5.7973796E+00
pp_0031               3.6250000000E+03      1.3750000000E+03      1             5.4803006E+00
