obsnme obsval
c001pr03c08_19791231 29.054892
c001pr03c08_19800101 28.817772
c001pr03c09_19700101 45.0
c001pr03c09_19700102 28.570057
c001pr03c09_19791231 28.491978
c001pr03c09_19800101 28.275633
c001cr03c10_19700101 45.0
c001cr03c10_19700102 28.016777
c001cr03c10_19791231 27.942503
c001cr03c10_19800101 27.748657
c001pr03c10_19700101 45.0
c001pr03c10_19700102 28.016777
c001pr03c10_19791231 27.942503
c001pr03c10_19800101 27.748657
c001pr03c11_19700101 45.0
c001pr03c11_19700102 27.471758
c001pr03c11_19791231 27.402767
c001pr03c11_19800101 27.233208
c001pr03c12_19700101 45.0
c001pr03c12_19700102 26.969065
c001pr03c12_19791231 26.90706
c001pr03c12_19800101 26.762653
c001pr03c13_19700101 45.0
c001pr03c13_19700102 26.41934
c001pr03c13_19791231 26.366926
c001pr03c13_19800101 26.251709
c001pr03c14_19700101 45.0
c001pr03c14_19700102 25.82366
c001pr03c14_19791231 25.78395
c001pr03c14_19800101 25.702076
c001pr03c15_19700101 45.0
c001pr03c15_19700102 25.204723
c001pr03c15_19791231 25.180582
c001pr03c15_19800101 25.134502
c001cr03c16_19700101 45.0
c001cr03c16_19700102 24.443825
c001cr03c16_19791231 24.440897
c001cr03c16_19800101 24.437908
c001pr03c16_19700101 45.0
c001pr03c16_19700102 24.443825
c001pr03c16_19791231 24.440897
c001pr03c16_19800101 24.437908
c001pr03c17_19700101 45.0
c001pr03c17_19700102 24.660933
c001pr03c17_19791231 24.64671
c001pr03c17_19800101 24.639528
c001pr03c18_19700101 45.0
c001pr03c18_19700102 24.82844
c001pr03c18_19791231 24.805796
c001pr03c18_19800101 24.79498
c001pr03c19_19700101 45.0
c001pr03c19_19700102 24.946508
c001pr03c19_19791231 24.918344
c001pr03c19_19800101 24.904865
c001pr03c20_19700101 45.0
c001pr03c20_19700102 25.0131
c001pr03c20_19791231 24.981985
c001pr03c20_19800101 24.96698
c001pr04c01_19700101 45.0
c001pr04c01_19700102 31.594397
c001pr04c01_19791231 31.510422
c001pr04c01_19800101 31.198587
c001pr04c02_19700101 45.0
c001pr04c02_19700102 31.482529
c001pr04c02_19791231 31.398485
c001pr04c02_19800101 31.08934
c001pr04c03_19700101 45.0
c001pr04c03_19700102 31.250307
c001pr04c03_19791231 31.16606
c001pr04c03_19800101 30.862362
c001pr04c04_19700101 45.0
c001pr04c04_19700102 30.898453
c001pr04c04_19791231 30.813822
c001pr04c04_19800101 30.518229
c001pr04c05_19700101 45.0
c001pr04c05_19700102 30.540009
c001pr04c05_19791231 30.455503
c001pr04c05_19800101 30.170216
c001pr04c06_19700101 45.0
c001pr04c06_19700102 30.11884
c001pr04c06_19791231 30.03468
c001pr04c06_19800101 29.762152
c001pr04c07_19700101 45.0
c001pr04c07_19700102 29.554634
c001pr04c07_19791231 29.470781
c001pr04c07_19800101 29.214563
c001pr04c08_19700101 45.0
c001pr04c08_19700102 29.046116
c001pr04c08_19791231 28.96353
c001pr04c08_19800101 28.724588
c001cr04c09_19700101 45.0
c001cr04c09_19700102 28.515265
c001cr04c09_19791231 28.434832
c001cr04c09_19800101 28.215355
c001pr04c09_19700101 45.0
c001pr04c09_19700102 28.515265
c001pr04c09_19791231 28.434832
c001pr04c09_19800101 28.215355
c001pr04c10_19700101 45.0
c001pr04c10_19700102 27.882626
c001pr04c10_19791231 27.805258
c001pr04c10_19800101 27.609112
c001pr04c11_19700101 45.0
c001pr04c11_19700102 27.345678
c001pr04c11_19791231 27.273172
c001pr04c11_19800101 27.100487
c001pr04c12_19700101 45.0
c001pr04c12_19700102 26.842863
c001pr04c12_19791231 26.777203
c001pr04c12_19800101 26.62925
c001pr04c13_19700101 45.0
c001pr04c13_19700102 26.290747
c001pr04c13_19791231 26.234863
c001pr04c13_19800101 26.115976
c001pr04c14_19700101 45.0
c001pr04c14_19700102 25.69141
c001pr04c14_19791231 25.648594
c001pr04c14_19800101 25.562864
c001pr04c15_19700101 45.0
c001pr04c15_19700102 25.002674
c001pr04c15_19791231 24.976961
c001pr04c15_19800101 24.929413
c001pr04c16_19700101 45.0
c001pr04c16_19700102 24.20439
c001pr04c16_19791231 24.200966
c001pr04c16_19800101 24.19748
c001pr04c17_19700101 45.0
c001pr04c17_19700102 24.489244
c001pr04c17_19791231 24.47402
c001pr04c17_19800101 24.466255
c001pr04c18_19700101 45.0
c001pr04c18_19700102 24.68184
c001pr04c18_19791231 24.658346
c001pr04c18_19800101 24.646955
c001pr04c19_19700101 45.0
c001pr04c19_19700102 24.82658
c001pr04c19_19791231 24.797333
c001pr04c19_19800101 24.783096
c001pr04c20_19700101 45.0
c001pr04c20_19700102 24.900726
c001pr04c20_19791231 24.868505
c001pr04c20_19800101 24.852678
c001pr05c01_19700101 45.0
c001pr05c01_19700102 31.563948
c001pr05c01_19791231 31.479721
c001pr05c01_19800101 31.165787
c001pr05c02_19700101 45.0
c001pr05c02_19700102 31.438776
c001pr05c02_19791231 31.354383
c001pr05c02_19800101 31.043165
c001pr05c03_19700101 45.0
c001pr05c03_19700102 31.193613
c001pr05c03_19791231 31.10891
c001pr05c03_19800101 30.803411
c001fr05c04_19700101 45.0
c001fr05c04_19700102 30.851479
c001fr05c04_19791231 30.766438
c001fr05c04_19800101 30.46966
c001pr05c05_19700101 45.0
c001pr05c05_19700102 30.470922
c001pr05c05_19791231 30.385796
c001pr05c05_19800101 30.09996
c001pr05c06_19700101 45.0
c001pr05c06_19700102 30.000618
c001pr05c06_19791231 29.915237
c001pr05c06_19800101 29.64246
c001pr05c07_19700101 45.0
c001pr05c07_19700102 29.477266
c001pr05c07_19791231 29.39183
c001pr05c07_19800101 29.134218
c001pr05c08_19700101 45.0
c001pr05c08_19700102 29.011047
c001pr05c08_19791231 28.926453
c001pr05c08_19800101 28.684595
c001pr05c09_19700101 45.0
c001pr05c09_19700102 28.373522
c001pr05c09_19791231 28.289705
c001pr05c09_19800101 28.06776
c001pr05c10_19700101 45.0
c001pr05c10_19700102 27.761786
c001pr05c10_19791231 27.680344
c001pr05c10_19800101 27.480576
c001pr05c11_19700101 45.0
c001pr05c11_19700102 27.231178
c001pr05c11_19791231 27.154018
c001pr05c11_19800101 26.976934
c001pr05c12_19700101 45.0
c001pr05c12_19700102 26.723806
c001pr05c12_19791231 26.653273
c001pr05c12_19800101 26.500751
c001pr05c13_19700101 45.0
c001pr05c13_19700102 26.167467
c001pr05c13_19791231 26.106829
c001pr05c13_19800101 25.983355
c001pr05c14_19700101 45.0
c001pr05c14_19700102 25.54681
c001pr05c14_19791231 25.499912
c001pr05c14_19800101 25.41026
c001pr05c15_19700101 45.0
c001pr05c15_19700102 24.8157
c001pr05c15_19791231 24.787533
c001pr05c15_19800101 24.737944
c001pr05c16_19700101 45.0
c001pr05c16_19700102 23.967196
c001pr05c16_19791231 23.963268
c001pr05c16_19800101 23.95954
c001pr05c17_19700101 45.0
c001pr05c17_19700102 24.25419
c001pr05c17_19791231 24.238525
c001pr05c17_19800101 24.23043
c001pr05c18_19700101 45.0
c001pr05c18_19700102 24.511942
c001pr05c18_19791231 24.487083
c001pr05c18_19800101 24.474884
c001pr05c19_19700101 45.0
c001pr05c19_19700102 24.675703
c001pr05c19_19791231 24.64497
c001pr05c19_19800101 24.629736
c001pr05c20_19700101 45.0
c001pr05c20_19700102 24.765356
c001pr05c20_19791231 24.731617
c001pr05c20_19800101 24.714697
c001pr06c01_19700101 45.0
c001pr06c01_19700102 31.554815
c001pr06c01_19791231 31.470318
c001pr06c01_19800101 31.153067
c001pr06c02_19700101 45.0
c001pr06c02_19700102 31.437654
c001pr06c02_19791231 31.353048
c001pr06c02_19800101 31.038668
c001pr06c03_19700101 45.0
c001pr06c03_19700102 31.185059
c001pr06c03_19791231 31.100082
c001pr06c03_19800101 30.79193
c001pr06c04_19700101 45.0
c001pr06c04_19700102 30.826338
c001pr06c04_19791231 30.740877
c001pr06c04_19800101 30.442062
c001pr06c05_19700101 45.0
c001pr06c05_19700102 30.42021
c001pr06c05_19791231 30.334448
c001pr06c05_19800101 30.047474
c001pr06c06_19700101 45.0
c001pr06c06_19700102 29.945076
c001pr06c06_19791231 29.858824
c001pr06c06_19800101 29.585297
c001pr06c07_19700101 45.0
c001pr06c07_19700102 29.435978
c001pr06c07_19791231 29.349192
c001pr06c07_19800101 29.09006
c001pr06c08_19700101 45.0
c001pr06c08_19700102 28.86739
c001pr06c08_19791231 28.779757
c001pr06c08_19800101 28.536158
c001pr06c09_19700101 45.0
c001pr06c09_19700102 28.303354
c001pr06c09_19791231 28.21614
c001pr06c09_19800101 27.990648
c001pr06c10_19700101 45.0
c001pr06c10_19700102 27.641838
c001pr06c10_19791231 27.55562
c001pr06c10_19800101 27.351955
c001pr06c11_19700101 45.0
c001pr06c11_19700102 27.057842
c001pr06c11_19791231 26.974539
c001pr06c11_19800101 26.793533
c001pr06c12_19700101 45.0
c001pr06c12_19700102 26.574371
c001pr06c12_19791231 26.496937
c001pr06c12_19800101 26.339018
c001pr06c13_19700101 45.0
c001pr06c13_19700102 26.019382
c001pr06c13_19791231 25.951725
c001pr06c13_19800101 25.822565
c001pr06c14_19700101 45.0
c001pr06c14_19700102 25.38479
c001pr06c14_19791231 25.331732
c001pr06c14_19800101 25.237179
c001pr06c15_19700101 45.0
c001pr06c15_19700102 24.631805
c001pr06c15_19791231 24.599464
c001pr06c15_19800101 24.546574
c001pr06c16_19700101 45.0
c001pr06c16_19700102 23.722263
c001pr06c16_19791231 23.71792
c001pr06c16_19800101 23.714127
c001pr06c17_19700101 45.0
c001pr06c17_19700102 24.052792
c001pr06c17_19791231 24.035494
c001pr06c17_19800101 24.026766
c001pr06c18_19700101 45.0
c001pr06c18_19700102 24.31349
c001pr06c18_19791231 24.286892
c001pr06c18_19800101 24.273838
c001pr06c19_19700101 45.0
c001pr06c19_19700102 24.520952
c001pr06c19_19791231 24.48821
c001pr06c19_19800101 24.471762
c001pr06c20_19700101 45.0
c001pr06c20_19700102 24.627487
c001pr06c20_19791231 24.59172
c001pr06c20_19800101 24.57342
c001pr07c01_19700101 45.0
c001pr07c01_19700102 31.587126
c001pr07c01_19791231 31.502485
c001pr07c01_19800101 31.18141
c001pr07c02_19700101 45.0
c001pr07c02_19700102 31.46483
c001pr07c02_19791231 31.380022
c001pr07c02_19800101 31.0618
c001pr07c03_19700101 45.0
c001pr07c03_19700102 31.2419
c001pr07c03_19791231 31.156847
c001pr07c03_19800101 30.84462
c001pr07c04_19700101 45.0
c001pr07c04_19700102 30.864687
c001pr07c04_19791231 30.779009
c001pr07c04_19800101 30.476868
c001pr07c05_19700101 45.0
c001pr07c05_19700102 30.426157
c001pr07c05_19791231 30.340025
c001pr07c05_19800101 30.051098
c001pr07c06_19700101 45.0
c001pr07c06_19700102 29.868452
c001pr07c06_19791231 29.781082
c001pr07c06_19800101 29.50692
c001pr07c07_19700101 45.0
c001pr07c07_19700102 29.370152
c001pr07c07_19791231 29.281754
c001pr07c07_19800101 29.02143
c001pr07c08_19700101 45.0
c001pr07c08_19700102 28.733732
c001pr07c08_19791231 28.643055
c001pr07c08_19800101 28.398182
c001pr07c09_19700101 45.0
c001pr07c09_19700102 28.12363
c001pr07c09_19791231 28.031366
c001pr07c09_19800101 27.803236
c001pr07c10_19700101 45.0
c001pr07c10_19700102 27.428802
c001pr07c10_19791231 27.335209
c001pr07c10_19800101 27.127262
c001pr07c11_19700101 45.0
c001pr07c11_19700102 26.87505
c001pr07c11_19791231 26.783264
c001pr07c11_19800101 26.596619
c001pr07c12_19700101 45.0
c001pr07c12_19700102 26.394129
c001pr07c12_19791231 26.307024
c001pr07c12_19800101 26.142607
c001pr07c13_19700101 45.0
c001pr07c13_19700102 25.838991
c001pr07c13_19791231 25.761066
c001pr07c13_19800101 25.625078
c001pr07c14_19700101 45.0
c001pr07c14_19700102 25.19631
c001pr07c14_19791231 25.133896
c001pr07c14_19800101 25.033392
c001pr07c15_19700101 45.0
c001pr07c15_19700102 24.419329
c001pr07c15_19791231 24.380352
c001pr07c15_19800101 24.323769
c001pr07c16_19700101 45.0
c001pr07c16_19700102 23.473816
c001pr07c16_19791231 23.468956
c001pr07c16_19800101 23.465115
c001pr07c17_19700101 45.0
c001pr07c17_19700102 23.853012
c001pr07c17_19791231 23.83256
c001pr07c17_19800101 23.822979
c001pr07c18_19700101 45.0
c001pr07c18_19700102 24.13976
c001pr07c18_19791231 24.109938
c001pr07c18_19800101 24.095589
c001pr07c19_19700101 45.0
c001pr07c19_19700102 24.351803
c001pr07c19_19791231 24.31616
c001pr07c19_19800101 24.29811
c001pr07c20_19700101 45.0
c001pr07c20_19700102 24.47246
c001pr07c20_19791231 24.43398
c001pr07c20_19800101 24.41388
c001pr08c01_19700101 45.0
c001pr08c01_19700102 31.692862
c001pr08c01_19791231 31.608366
c001pr08c01_19800101 31.281252
c001pr08c02_19700101 45.0
c001pr08c02_19700102 31.570688
c001pr08c02_19791231 31.485916
c001pr08c02_19800101 31.16146
c001pr08c03_19700101 45.0
c001pr08c03_19700102 31.374084
c001pr08c03_19791231 31.28908
c001pr08c03_19800101 30.970156
c001pr08c04_19700101 45.0
c001pr08c04_19700102 31.033236
c001pr08c04_19791231 30.947687
c001pr08c04_19800101 30.638481
c001pr08c05_19700101 45.0
c001pr08c05_19700102 30.469893
c001pr08c05_19791231 30.383612
c001pr08c05_19800101 30.092113
c001pr08c06_19700101 45.0
c001pr08c06_19700102 29.866419
c001pr08c06_19791231 29.778595
c001pr08c06_19800101 29.503298
c001pr08c07_19700101 45.0
c001pr08c07_19700102 29.26907
c001pr08c07_19791231 29.179102
c001pr08c07_19800101 28.918793
c001pr08c08_19700101 45.0
c001pr08c08_19700102 28.50892
c001pr08c08_19791231 28.414755
c001pr08c08_19800101 28.171236
c001pr08c09_19700101 45.0
c001pr08c09_19700102 27.818604
c001pr08c09_19791231 27.72
