name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK002,0,0.5,-1,1,0,0.499983,-0.999967,0.999967
HK003,0,0.5,-1,1,0,0.499982,-0.999963,0.999963
HK004,0,0.5,-1,1,0,0.499993,-0.999987,0.999987
HK005,0,0.5,-1,1,0,0.49998,-0.99996,0.99996
HK006,0,0.5,-1,1,0,0.499977,-0.999954,0.999954
HK007,0,0.5,-1,1,0,0.499982,-0.999964,0.999964
HK008,0,0.5,-1,1,0,0.499988,-0.999977,0.999977
HK009,0,0.5,-1,1,0,0.499981,-0.999963,0.999963
HK010,0,0.5,-1,1,0,0.499984,-0.999968,0.999968
HK011,0,0.5,-1,1,0,0.49998,-0.999959,0.999959
HK012,0,0.5,-1,1,0,0.499988,-0.999976,0.999976
HK013,0,0.5,-1,1,0,0.499991,-0.999983,0.999983
HK014,0,0.5,-1,1,0,0.499978,-0.999956,0.999956
HK015,0,0.5,-1,1,0,0.499988,-0.999975,0.999975
HK016,0,0.5,-1,1,0,0.499989,-0.999977,0.999977
HK017,0,0.5,-1,1,0,0.499983,-0.999967,0.999967
HK018,0,0.5,-1,1,0,0.499993,-0.999987,0.999987
HK019,0,0.5,-1,1,0,0.499992,-0.999985,0.999985
HK020,0,0.5,-1,1,0,0.499993,-0.999985,0.999985
HK021,0,0.5,-1,1,0,0.499993,-0.999985,0.999985
HK022,0,0.5,-1,1,0,0.49999,-0.99998,0.99998
HK023,0,0.5,-1,1,0,0.499994,-0.999988,0.999988
HK024,0,0.5,-1,1,0,0.499992,-0.999984,0.999984
HK025,0,0.5,-1,1,0,0.499992,-0.999983,0.999983
HK026,0,0.5,-1,1,0,0.499992,-0.999985,0.999985
HK027,0,0.5,-1,1,0,0.499994,-0.999988,0.999988
HK028,0,0.5,-1,1,0,0.499992,-0.999983,0.999983
HK029,0,0.5,-1,1,0,0.499987,-0.999974,0.999974
HK030,0,0.5,-1,1,0,0.499987,-0.999975,0.999975
HK031,0,0.5,-1,1,0,0.499991,-0.999981,0.999981
HK100,0,0.5,-1,1,0,0.499997,-0.999995,0.999995
HK101,0,0.5,-1,1,0,0.499996,-0.999993,0.999993
HK102,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
HK103,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
HK104,0,0.5,-1,1,0,0.499998,-0.999997,0.999997
HK105,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
HK106,0,0.5,-1,1,0,0.499995,-0.999991,0.999991
HK107,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
HK108,0,0.5,-1,1,0,0.499997,-0.999993,0.999993
HK109,0,0.5,-1,1,0,0.499996,-0.999991,0.999991
HK110,0,0.5,-1,1,0,0.499996,-0.999992,0.999992
